,County,City,State,Year,Car_Mark,Model,Type_Vehicle,CAFV Eligibility,Electric Range,Base MSRP,Vehicle Location
0,King,Seattle,WA,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,"[47.629782, -122.300312]"
1,Yakima,Zillah,WA,2024,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,"[46.4063477, -120.2658133]"
2,King,Kent,WA,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.402358, -122.201564]"
3,Snohomish,Bothell,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,"[47.839957, -122.206146]"
4,Yakima,Yakima,WA,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,"[46.596645, -120.611068]"
5,King,Redmond,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,"[47.6705374, -122.1207376]"
6,Thurston,Yelm,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,"[46.9095798, -122.5715761]"
7,Kitsap,Poulsbo,WA,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,"[47.7469547, -122.6368884]"
8,King,Redmond,WA,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,"[47.6705374, -122.1207376]"
9,Snohomish,Bothell,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,"[47.839957, -122.206146]"
10,Thurston,Olympia,WA,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,"[47.0133209, -122.8733203]"
11,Kitsap,Poulsbo,WA,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,"[47.7469547, -122.6368884]"
12,Kitsap,Port Orchard,WA,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.4739066, -122.6530052]"
13,King,Kent,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,"[47.3741045, -122.1994204]"
14,King,Shoreline,WA,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,"[47.761784, -122.301507]"
15,Thurston,Tumwater,WA,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,"[46.991391, -122.957046]"
16,Snohomish,Bothell,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,"[47.839957, -122.206146]"
17,Snohomish,Snohomish,WA,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.841036, -122.121841]"
18,King,Bellevue,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,"[47.6157551, -122.1436732]"
19,King,Bothell,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,"[47.754528, -122.201408]"
20,Kitsap,Poulsbo,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,"[47.7469547, -122.6368884]"
21,Kitsap,Poulsbo,WA,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,"[47.7469547, -122.6368884]"
22,Thurston,Olympia,WA,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,"[46.9970624, -122.7654699]"
23,Yakima,Yakima,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,"[46.59534, -120.530331]"
24,King,Seattle,WA,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,"[47.629782, -122.300312]"
25,Kitsap,Bainbridge Island,WA,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,"[47.6400595, -122.5305071]"
26,King,Seattle,WA,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.6862671, -122.3008235]"
27,Snohomish,Stanwood,WA,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,"[48.2144825, -122.326873]"
28,Snohomish,Bothell,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,"[47.839957, -122.206146]"
29,King,Seattle,WA,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,192,0,"[47.6296532, -122.3212726]"
30,Yakima,Yakima,WA,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,"[46.59534, -120.530331]"
31,Thurston,Olympia,WA,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,"[47.0133209, -122.8733203]"
32,Kitsap,Bremerton,WA,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.62806, -122.636245]"
33,Thurston,Olympia,WA,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.0133209, -122.8733203]"
